#Título,Descripción
El pressupost municipal,"El pressupost d'un Ajuntament és un document que s'aprova pel Ple de l'Ajuntament i que especifica les despeses que com a màxim es produiran durant l'exercici i els ingressos que es preveuen obtenir durant el mateix període. Totes les entitats locals estan obligades a aprovar el pressupost de l'any en l'últim trimestre de l'any anterior. D'aquesta manera les entitats locals l'1 de gener de cada any han de tenir el seu pressupost aprovat. No obstant això, si quan comença l'any no s'ha aprovat el pressupost, la normativa estableix que es prorrogaran automàticament els pressuposts de l'any anterior."
Com es classifica el pressupost de despeses,"L'estat de despeses ordena els crèdits d'acord amb tres classificacions diferents:<ul><li>Orgànica, que informa sobre qui fa la despesa.</li><li>Per programes, que informa sobre en què es gasta, és a dir, la finalitat de la despesa.</li><li>Econòmica, que informa sobre com es gasta, sobre la naturalesa econòmica de la despesa.</li></ul>"
Classificació orgànica del pressupost de despeses,"La classificació orgànica del pressupost de despeses informa de quina és la unitat orgànica de l'Ajuntament que gestiona les despeses, és a dir, quina àrea o servei  és el responsable de la seva execució. Aquesta classificació és opcional."
Classificació econòmica del pressupost de despeses,"La classificació econòmica del pressupost de despeses informa sobre com es gasta. Per això els crèdits del pressupost de despeses s'ordenen segons la seva naturalesa econòmica, distingint entre els crèdits destinats a operacions corrents, com les despeses necessàries per al funcionament dels serveis públics (despeses en personal i en béns i serveis), els crèdits destinats a operacions de capital (com les despeses en inversions reals) i els crèdits destinats a operacions de caràcter financer (com les amortitzacions dels préstecs que han rebut les entitats locals). Consta dels següents capítols: <br/><ul><li>Capítol 1: Despeses de personal</li><li>Capítol 2: Despeses corrents en béns i serveis</li><li>Capítol 3: Despeses financeres</li><li>Capítol 4: Transferències corrents</li><li>Capítol 5: Fons de contingència</li><li>Capítol 6: Inversions reals</li><li>Capítol 7: Transferències de capital</li><li>Capítol 8: Actius financers</li><li>Capítol 9: Passius financers</li></ul>"
Classificació per programes del pressupost de despeses,"La classificació per programes del pressupost de despeses informa sobre la finalitat i els objectius dels crèdits que es proposi aconseguir. El detall d'aquesta classificació el podeu consultar en l'Ordre del Ministeri d'Economia i Hisenda HAP/419/2014, de 14  de març, per la qual s'aprova l'estructura dels pressupostos de les entitats locals."
Com es classifica el pressupost d'ingressos,"L'estat d'ingressos es pot classificar d'acord amb les classificacions següents:<ul><li>Classificació econòmica, que presenta la informació atenent a la naturalesa econòmica dels drets pressupostaris, l'estructura de la qual serà definida pel Ministeri d'Economia i Hisenda.</li><li>Classificació orgànica, que informa sobre qui ingressa. Les entitats locals podran classificar els ingressos atenent a la seva pròpia estructura. És una possibilitat que tenen les entitats locals i, per tant, una classificació de caràcter opcional.</li></ul>"
Impost sobre béns immobles,"L'IBI és un impost municipal directe, real, objectiu, periòdic i obligatori, que grava el valor dels béns immobles. Han de pagar aquest impost els propietaris, usufructuaris o concessionaris de qualsevol bé immoble o propietat (pis, plaça de garatge, traster, botiga, casa, despatx, etc.). En cas de transmissió, el nou propietari ha de pagar l'impost a partir de l'any següent. La gestió d'aquest impost la comparteixen el municipi i l'Administració tributària de l'Estat."
Impost d'activitats econòmiques,"L'IAE és un impost directe, real i obligatori, que grava la realització de qualsevol tipus d'activitat econòmica, tant si s'exerceix per una persona física com jurídica. Han de pagar aquest impost les empreses o entitats que han obtingut un import net de la seva xifra de negocis igual o superior al milió d'euros durant el penúltim exercici. La gestió d'aquest impost la comparteixen el municipi i l'Administració tributària de l'Estat."
Impost sobre vehicles de tracció mecànica,L'impost sobre vehicles (IVTM) és un tribut directe que grava la titularitat dels vehicles d'aquesta naturalesa aptes per circular per vies públiques. Han de pagar anualment aquest impost els propietaris de vehicles donats d'alta. La gestió d'aquest impost és íntegrament municipal.
"Impost sobre construccions, instal·lacions i obres","L'ICIO és un tribut municipal que els ajuntaments poden exigir si prèviament ho han decidit així i ho ha aprovat l'ordenança fiscal corresponent. L'ICIO s'ha de pagar per la realització dins del terme municipal de qualsevol construcció, instal·lació o obra per a la qual calgui obtenir una llicència urbanística o presentar una declaració responsable o una comunicació prèvia. La gestió d'aquest impost és íntegrament municipal."
